day,0,1,2,3,4,5,6,7
1,0,1,1,1,1,1,1,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
5,0,1,1,1,1,1,1,1
6,0,1,1,1,1,1,1,1
7,0,1,1,1,1,1,1,1
8,0,1,1,1,1,1,1,1
9,0,1,1,1,1,1,1,1
10,0,1,1,1,1,1,1,1
11,1,1,1,0,1,1,1,1
12,1,1,1,0,1,1,1,1
13,1,1,1,0,1,1,1,1
14,1,1,1,0,1,1,1,1
15,1,1,1,0,1,1,1,1
16,1,1,1,0,1,1,1,1
17,1,1,1,0,1,1,1,1
18,1,1,1,0,1,1,1,1
19,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1
24,1,1,0,1,1,1,1,0
25,1,1,0,1,1,1,1,0
26,1,1,0,1,1,1,1,0
27,1,1,0,1,1,1,1,0
28,1,1,0,1,1,1,1,0
29,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1
